config,seed,use_restart,sa_on,T0,alpha,best_accuracy,best_latency,n_evaluations
SA_T0=0.5_Restart_on,9,True,True,0.5,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.75_Restart_on,0,True,True,0.75,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.75_Restart_on,1,True,True,0.75,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.75_Restart_on,2,True,True,0.75,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.75_Restart_on,3,True,True,0.75,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.75_Restart_on,4,True,True,0.75,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.75_Restart_on,5,True,True,0.75,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.75_Restart_on,6,True,True,0.75,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.75_Restart_on,7,True,True,0.75,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.75_Restart_on,8,True,True,0.75,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.75_Restart_on,9,True,True,0.75,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.0_Restart_on,0,True,True,1.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.0_Restart_on,1,True,True,1.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.0_Restart_on,2,True,True,1.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.0_Restart_on,3,True,True,1.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.0_Restart_on,4,True,True,1.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.0_Restart_on,5,True,True,1.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.0_Restart_on,6,True,True,1.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.0_Restart_on,7,True,True,1.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.0_Restart_on,8,True,True,1.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.0_Restart_on,9,True,True,1.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.5_Restart_on,0,True,True,1.5,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.5_Restart_on,1,True,True,1.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.5_Restart_on,2,True,True,1.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.5_Restart_on,3,True,True,1.5,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.5_Restart_on,4,True,True,1.5,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.5_Restart_on,5,True,True,1.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.5_Restart_on,6,True,True,1.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.5_Restart_on,7,True,True,1.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.5_Restart_on,8,True,True,1.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.5_Restart_on,9,True,True,1.5,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=2.0_Restart_on,0,True,True,2.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=2.0_Restart_on,1,True,True,2.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=2.0_Restart_on,2,True,True,2.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=2.0_Restart_on,3,True,True,2.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=2.0_Restart_on,4,True,True,2.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=2.0_Restart_on,5,True,True,2.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=2.0_Restart_on,6,True,True,2.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=2.0_Restart_on,7,True,True,2.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=2.0_Restart_on,8,True,True,2.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=2.0_Restart_on,9,True,True,2.0,0.95,94.37333679199219,6.77217960357666,10000
SA_off_Restart_on,0,True,False,,,94.37333679199219,6.810173988342285,10000
SA_off_Restart_on,1,True,False,,,94.37333679199219,6.810173988342285,10000
SA_off_Restart_on,2,True,False,,,94.37333679199219,6.810173988342285,10000
SA_off_Restart_on,3,True,False,,,94.37333679199219,6.77217960357666,10000
SA_off_Restart_on,4,True,False,,,94.37333679199219,6.77217960357666,10000
SA_off_Restart_on,5,True,False,,,94.37333679199219,6.77217960357666,10000
SA_off_Restart_on,6,True,False,,,94.37333679199219,6.810173988342285,10000
SA_off_Restart_on,7,True,False,,,94.37333679199219,6.77217960357666,10000
SA_off_Restart_on,8,True,False,,,94.37333679199219,6.77217960357666,10000
SA_off_Restart_on,9,True,False,,,94.37333679199219,6.810173988342285,10000
SA_T0=0.25_Restart_off,0,False,True,0.25,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.25_Restart_off,1,False,True,0.25,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.25_Restart_off,2,False,True,0.25,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.25_Restart_off,3,False,True,0.25,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.25_Restart_off,4,False,True,0.25,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.25_Restart_off,5,False,True,0.25,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.25_Restart_off,6,False,True,0.25,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.25_Restart_off,7,False,True,0.25,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.25_Restart_off,8,False,True,0.25,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.25_Restart_off,9,False,True,0.25,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.5_Restart_off,0,False,True,0.5,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.5_Restart_off,1,False,True,0.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.5_Restart_off,2,False,True,0.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.5_Restart_off,3,False,True,0.5,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.5_Restart_off,4,False,True,0.5,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.5_Restart_off,5,False,True,0.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.5_Restart_off,6,False,True,0.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.5_Restart_off,7,False,True,0.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.5_Restart_off,8,False,True,0.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.5_Restart_off,9,False,True,0.5,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.75_Restart_off,0,False,True,0.75,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.75_Restart_off,1,False,True,0.75,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.75_Restart_off,2,False,True,0.75,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.75_Restart_off,3,False,True,0.75,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.75_Restart_off,4,False,True,0.75,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=0.75_Restart_off,5,False,True,0.75,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.75_Restart_off,6,False,True,0.75,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.75_Restart_off,7,False,True,0.75,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.75_Restart_off,8,False,True,0.75,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=0.75_Restart_off,9,False,True,0.75,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.0_Restart_off,0,False,True,1.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.0_Restart_off,1,False,True,1.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.0_Restart_off,2,False,True,1.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.0_Restart_off,3,False,True,1.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.0_Restart_off,4,False,True,1.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.0_Restart_off,5,False,True,1.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.0_Restart_off,6,False,True,1.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.0_Restart_off,7,False,True,1.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.0_Restart_off,8,False,True,1.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.0_Restart_off,9,False,True,1.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.5_Restart_off,0,False,True,1.5,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.5_Restart_off,1,False,True,1.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.5_Restart_off,2,False,True,1.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.5_Restart_off,3,False,True,1.5,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.5_Restart_off,4,False,True,1.5,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=1.5_Restart_off,5,False,True,1.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.5_Restart_off,6,False,True,1.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.5_Restart_off,7,False,True,1.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.5_Restart_off,8,False,True,1.5,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=1.5_Restart_off,9,False,True,1.5,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=2.0_Restart_off,0,False,True,2.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=2.0_Restart_off,1,False,True,2.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=2.0_Restart_off,2,False,True,2.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=2.0_Restart_off,3,False,True,2.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=2.0_Restart_off,4,False,True,2.0,0.95,94.37333679199219,6.77217960357666,10000
SA_T0=2.0_Restart_off,5,False,True,2.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=2.0_Restart_off,6,False,True,2.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=2.0_Restart_off,7,False,True,2.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=2.0_Restart_off,8,False,True,2.0,0.95,94.37333679199219,6.810173988342285,10000
SA_T0=2.0_Restart_off,9,False,True,2.0,0.95,94.37333679199219,6.77217960357666,10000
SA_off_Restart_off,0,False,False,,,94.37333679199219,6.810173988342285,10000
SA_off_Restart_off,1,False,False,,,94.37333679199219,6.810173988342285,10000
SA_off_Restart_off,2,False,False,,,94.37333679199219,6.810173988342285,10000
SA_off_Restart_off,3,False,False,,,94.37333679199219,6.77217960357666,10000
SA_off_Restart_off,4,False,False,,,94.37333679199219,6.77217960357666,10000
SA_off_Restart_off,5,False,False,,,94.37333679199219,6.77217960357666,10000
SA_off_Restart_off,6,False,False,,,94.37333679199219,6.810173988342285,10000
SA_off_Restart_off,7,False,False,,,94.37333679199219,6.77217960357666,10000
SA_off_Restart_off,8,False,False,,,94.37333679199219,6.77217960357666,10000
SA_off_Restart_off,9,False,False,,,94.37333679199219,6.810173988342285,10000
